model,experiment_id,experiment_name,case_id,score_key,score,comment,latency_ms,total_cost_usd
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,18159.96,0.005676
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,cv_schema_validity,1.0,output validates as CandidateCVExtracted,18159.96,0.005676
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,llm_reference_judge,0.72,"Identity is largely faithful and matches the reference on name, city, country, nationality, email, and phone (though phone formatting differs slightly). Work experience and education are supported, but the output adds unsupported details such as exact dates, locations, and task descriptions. Skills include one extra unsupported item ('Regression planning'). Languages are over-specified with duplicated English detail. Certifications are expanded with IDs and issue dates not present in the reference. References are also over-detailed beyond the reference. Overall good extraction with several unsupported embellishments.",18159.96,0.005676
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,reference_grounding,0.6897,claims=29; unsupported=9; examples=+491510001001 | vocational training: it specialist system integration | berufskolleg musterstadt | 2020 - 2023 | test design basics,18159.96,0.005676
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-003,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",18159.96,0.005676
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,20373.93,0.0055995
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,cv_schema_validity,1.0,output validates as CandidateCVExtracted,20373.93,0.0055995
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,llm_reference_judge,0.72,"Core identity matches the reference well (name, email, phone, city, country, nationality). Work history, education, skills, languages, certifications, and references are broadly aligned. However, the extraction adds unsupported details and formatting not present in the reference, including street address/postal code, exact dates, expanded skill list, certificate IDs/issuers, and detailed reference emails. It also duplicates work experience entries. Missing evidence and unsupported enrichment prevent a perfect score.",20373.93,0.0055995
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,reference_grounding,0.5946,claims=37; unsupported=15; examples=+16170001005 | bachelor in business studies | placeholder state college | 2016 - 2020 | clear communication,20373.93,0.0055995
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-004,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",20373.93,0.0055995
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,24415.6,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,cv_schema_validity,1.0,output validates as CandidateCVExtracted,24415.6,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,llm_reference_judge,0.62,"Core identity matches the reference well (name, email, phone, city, country, nationality). However, there are several unsupported or embellished fields: street address/number/postal code, gender, LinkedIn/GitHub/portfolio, and detailed work/education/certification/reference text beyond the reference. Work experience and education are broadly faithful but over-specified with dates and extra details. Skills include extra items not in the reference. Overall good extraction with notable hallucinated detail, so not a perfect score.",24415.6,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,reference_grounding,0.6765,claims=34; unsupported=11; examples=+61400000104 | clear communication | structured documentation,24415.6,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-005,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",24415.6,0.005475
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,17579.31,0.00563175
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,cv_schema_validity,1.0,output validates as CandidateCVExtracted,17579.31,0.00563175
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,llm_reference_judge,0.72,"Core identity matches the reference well: name, city, country, email, phone, nationality, and the two work roles/education/languages/certifications are broadly aligned. However, there are several unsupported additions and formatting deviations: street address details are invented beyond the reference, work experience is over-specified with duties not present in the reference, skills include extra items beyond the six referenced skills, and references are expanded with emails and full contact details not supported by the reference. These reduce fidelity, so this is not a perfect extraction.",17579.31,0.00563175
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,reference_grounding,0.7097,claims=31; unsupported=9; examples=+491510001002 | technical assistant for computer science | technische schule platzhalter | 2017 - 2019 | ip addressing,17579.31,0.00563175
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-006,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",17579.31,0.00563175
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,16401.63,0.005484
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,cv_schema_validity,1.0,output validates as CandidateCVExtracted,16401.63,0.005484
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,llm_reference_judge,0.72,"Identity is largely faithful and matches the reference on name, contact, location, and nationality. Work experience and education are present, but the extraction adds unsupported details such as street address, postal code, exact dates, and expanded job descriptions. Skills include all reference skills plus extra unsupported items. Languages and references are close but formatted with added detail. Certifications are expanded with IDs and issue dates not present in the reference. Overall good match, but with notable unsupported embellishments.",16401.63,0.005484
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,reference_grounding,0.5882,claims=34; unsupported=14; examples=+491510001003 | commercial assistant | kaufmannsschule beispielstadt | 2017 - 2020 | clear communication,16401.63,0.005484
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-007,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",16401.63,0.005484
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,cv_extraction_correctness,0.8059,identity=0.88; evidence_fields=0.74; score=0.81,17715.01,0.00690225
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,cv_schema_validity,1.0,output validates as CandidateCVExtracted,17715.01,0.00690225
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,llm_reference_judge,0.18,"Core identity is mostly correct, but there are several unsupported or incorrect additions. Phone formatting differs from reference, location/address fields are invented, and work experience/education entries include extra details and a third unsupported job. Skills, languages, certifications, and references contain many additions beyond the reference, reducing fidelity.",17715.01,0.00690225
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,reference_grounding,0.7556,"claims=45; unsupported=11; examples=+491234567 | apprentice it specialist for application development at samplesoft solutions gmbh | supported basic programming tasks, internal documentation, and introductory system administration activities",17715.01,0.00690225
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-008,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",17715.01,0.00690225
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,18439.02,0.00543675
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,cv_schema_validity,1.0,output validates as CandidateCVExtracted,18439.02,0.00543675
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,llm_reference_judge,0.78,"Identity and core skills match the reference well. Work experience and education are faithful, but the extraction adds unsupported detail such as street address, postal code, exact dates, certificate IDs, issuing organizations, and expanded reference emails. Languages are close but formatted differently. Overall good extraction with some over-specification.",18439.02,0.00543675
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,reference_grounding,0.84,claims=25; unsupported=4; examples=+447700900101 | english - native | german - a2,18439.02,0.00543675
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-009,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",18439.02,0.00543675
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,cv_extraction_correctness,0.7708,identity=0.88; evidence_fields=0.67; score=0.77,18471.68,0.00568425
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,cv_schema_validity,1.0,output validates as CandidateCVExtracted,18471.68,0.00568425
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,llm_reference_judge,0.62,"Identity is mostly faithful: name, city, country, nationality, and email match; phone formatting differs but is equivalent. However, the extraction adds unsupported address fields (street, postal code) not present in the reference. Work experience is broadly correct but includes embellished details beyond the reference. Education is slightly over-specified with dates and location formatting. Skills include the required six but also many unsupported extras. Certifications and references are expanded with unsupported IDs/emails and extra detail. Overall, partially correct but with notable unsupported claims.",18471.68,0.00568425
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,reference_grounding,0.5833,claims=36; unsupported=15; examples=+353870001002 | communicated clearly with colleagues | maintained structured documentation of work results,18471.68,0.00568425
gpt-5.4-mini,0b530587-444c-4c1d-a3ef-3f1b661e40a7,cv-extraction-fe4b9c5d,cv-eval-010,supplemental_evidence_completeness,0.5,"checked_fields=certifications,references; score=0.50",18471.68,0.00568425
